year,victim.state,action.Malware,action.Hacking,action.Social,action.Physical,action.Misuse,action.Error,action.Environmental,action.Unknown,victim.industry.name,pattern,,victim.industry.name,pattern
2007,OH,0,0,0,0,1,0,0,0,Finance ,Privilege Misuse,,,
2012,FL,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2013,CO,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2012,CA,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2013,GA,0,1,0,0,0,0,0,0,Professional ,Everything Else,,,
2015,NA,0,0,0,0,0,0,0,1,Other Services ,Everything Else,,,
2013,NA,0,1,0,0,0,0,0,0,Information ,Denial of Service,,,
2015,FL,0,0,1,0,1,0,0,0,Accomodation ,Privilege Misuse,,,
2013,WA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,IA,0,0,1,0,1,0,0,0,Accomodation ,Privilege Misuse,,,
2012,WV,0,0,0,0,0,1,0,0,Retail ,Miscellaneous Errors,,,
2015,NA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,NY,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2014,DC,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2010,AR,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,TX,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,CT,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2011,WV,0,0,0,0,0,0,0,1,Healthcare ,Everything Else,,,
2006,NY,0,0,0,0,0,1,0,0,Information ,Miscellaneous Errors,,,
2012,NA,0,0,0,0,0,1,0,0,Administrative ,Lost and Stolen Assets,,,
2009,NC,0,0,0,0,1,0,0,0,Administrative ,Privilege Misuse,,,
2013,NA,0,1,0,0,0,0,0,0,Finance ,Denial of Service,,,
2012,NA,0,1,0,0,0,0,0,0,Professional ,Cyber-Espionage,,,
2008,DC,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,NA,0,0,0,1,0,0,0,0,Unknown,Lost and Stolen Assets,,,
2013,PA,0,0,0,0,0,1,0,0,Finance ,Lost and Stolen Assets,,,
2013,CA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2013,ME,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2010,MN,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2011,NA,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2013,NY,0,0,0,0,0,0,0,1,Finance ,Everything Else,,,
2015,NA,0,1,0,0,0,0,0,0,Administrative ,Everything Else,,,
2014,NA,0,1,0,0,0,0,0,0,Other Services ,Denial of Service,,,
2013,WA,0,0,0,0,0,0,0,1,Finance ,Everything Else,,,
2011,PR,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2010,NY,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,CA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,AL,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2013,CA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2011,CA,0,1,0,0,0,0,0,0,Other Services ,Everything Else,,,
2013,CA,0,0,0,1,0,0,0,0,Accomodation ,Payment Card Skimmers,,,
2014,CA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2007,NA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2011,CA,0,1,0,0,0,0,0,0,Information ,Everything Else,,,
2011,NA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2015,NA,0,0,0,0,0,1,0,0,Transportation ,Miscellaneous Errors,,,
2012,AL,0,1,0,0,0,0,0,0,Retail ,Web Applications,,,
2012,NA,0,1,0,0,0,0,0,0,Information ,Everything Else,,,
2013,CT,0,0,0,0,0,1,0,0,Administrative ,Miscellaneous Errors,,,
2014,CA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,VA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,NA,0,1,0,0,0,0,0,0,Professional ,Everything Else,,,
2013,NA,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2012,WA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,FL,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2010,MA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2011,MO,0,0,0,0,0,0,0,1,Healthcare ,Everything Else,,,
2008,NY,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2013,NA,0,0,0,0,1,0,0,0,Finance ,Privilege Misuse,,,
2012,CT,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,MN,1,1,0,0,0,0,0,0,Manufacturing ,Crimeware,,,
2014,NA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2015,FL,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2012,KY,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2015,NC,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,CT,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,GA,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2012,NY,0,1,0,0,0,0,0,0,Finance ,Web Applications,,,
2013,NA,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2011,NA,0,0,0,0,0,1,0,0,Finance ,Miscellaneous Errors,,,
2012,MD,0,0,0,1,0,0,0,0,Professional ,Lost and Stolen Assets,,,
2012,NA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2013,NA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2010,MA,0,0,0,0,0,1,0,0,Retail ,Lost and Stolen Assets,,,
2013,NA,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2014,HI,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2010,NE,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,OR,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,PA,0,0,0,1,0,0,0,0,Manufacturing ,Lost and Stolen Assets,,,
2012,MA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,NA,0,1,0,0,0,0,0,0,Other Services ,Web Applications,,,
2013,IL,0,1,0,0,0,0,0,0,Trade ,Everything Else,,,
2007,MD,0,0,0,0,1,0,0,0,Finance ,Privilege Misuse,,,
2010,TX,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2007,VA,0,0,1,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2010,NA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2014,GA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2014,NA,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2012,NA,1,1,1,0,0,0,0,0,Manufacturing ,Cyber-Espionage,,,
2013,CA,0,1,0,0,0,0,0,0,Other Services ,Web Applications,,,
2014,IL,0,0,0,1,0,0,0,0,Retail ,Lost and Stolen Assets,,,
2013,NY,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2010,CA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,TN,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2015,CA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2013,NA,0,1,0,0,0,0,0,0,Unknown,Denial of Service,,,
2011,CA,0,1,0,0,0,0,0,0,Finance ,Everything Else,,,
2013,NA,0,1,0,0,0,0,0,0,Manufacturing ,Web Applications,,,
2011,MN,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2010,AR,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2011,OR,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2010,NY,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2014,NV,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2013,NY,0,0,0,0,1,0,0,0,Educational ,Privilege Misuse,,,
2014,MN,0,0,0,0,0,1,0,0,Professional ,Miscellaneous Errors,,,
2012,NA,0,1,0,0,0,0,0,0,Utilities ,Cyber-Espionage,,,
2012,NA,0,1,0,0,0,0,0,0,Educational ,Web Applications,,,
2012,FL,0,1,0,0,0,0,0,0,Public ,Everything Else,,,
2015,NA,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2012,MA,0,1,0,0,0,0,0,0,Trade ,Web Applications,,,
2013,NA,0,1,0,0,0,0,0,0,Other Services ,Everything Else,,,
2013,NA,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2010,IL,0,0,1,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,NA,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2013,NA,1,1,0,0,0,0,0,0,Information ,Web Applications,,,
2011,NE,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2012,NY,0,0,0,0,1,0,0,0,Information ,Privilege Misuse,,,
2010,TX,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2010,TX,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,LA,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,KS,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2010,VT,0,0,0,0,0,0,0,1,Public ,Everything Else,,,
2013,OR,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2012,NM,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,CT,0,0,0,0,0,1,0,0,Educational ,Miscellaneous Errors,,,
2011,NA,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,NA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,NA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2013,TX,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,CA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2010,MN,0,0,0,1,0,0,0,0,Finance ,Lost and Stolen Assets,,,
2012,NJ,0,0,0,0,0,0,0,1,Trade ,Everything Else,,,
2012,MI,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,PA,0,0,0,0,1,1,0,0,Educational ,Privilege Misuse,,,
2013,NA,0,1,0,0,0,0,0,0,Unknown,Web Applications,,,
2015,IL,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2015,MA,1,1,0,0,0,0,0,0,Educational ,Crimeware,,,
2014,WI,1,0,1,0,0,0,0,0,Healthcare ,Crimeware,,,
2013,NA,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2011,MN,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2015,WI,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,PA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2014,IA,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2013,NA,0,1,0,0,0,0,0,0,Public ,Denial of Service,,,
2011,TX,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2015,IN,0,0,1,0,0,0,0,0,Administrative ,Everything Else,,,
2013,WV,0,1,0,0,0,0,0,0,Public ,Everything Else,,,
2015,FL,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2013,NJ,0,0,0,1,0,0,0,0,Administrative ,Lost and Stolen Assets,,,
2015,CO,0,0,0,1,0,0,0,0,Retail ,Payment Card Skimmers,,,
2013,ME,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2012,SC,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2014,CA,0,0,0,1,0,0,0,0,Administrative ,Lost and Stolen Assets,,,
2013,TN,0,0,0,1,0,0,0,0,Unknown,Lost and Stolen Assets,,,
2012,CA,0,1,0,0,0,0,0,0,Professional ,Everything Else,,,
2011,NE,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2009,TN,0,0,0,1,0,0,0,0,Finance ,Lost and Stolen Assets,,,
2012,IN,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2010,CA,1,1,1,0,0,0,0,0,Real Estate ,Web Applications,,,
2012,PA,1,0,0,0,0,0,0,0,Educational ,Crimeware,,,
2010,TX,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2010,WA,0,1,0,0,0,0,0,0,Healthcare ,Web Applications,,,
2013,WA,0,0,0,1,0,0,0,0,Educational ,Lost and Stolen Assets,,,
2013,NA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2015,OR,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2015,NY,0,0,0,1,0,0,0,0,Healthcare ,Everything Else,,,
2012,NA,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2012,NA,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2015,GA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,MI,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,NA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,AZ,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,NA,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2012,CA,0,1,0,1,0,0,0,0,Educational ,Everything Else,,,
2013,FL,0,0,0,0,1,0,0,0,Professional ,Privilege Misuse,,,
2011,CA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2011,NA,0,0,0,0,0,0,0,1,Information ,Cyber-Espionage,,,
2013,TX,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2014,NA,0,1,0,0,0,0,0,0,Information ,Denial of Service,,,
2013,NY,0,0,0,0,0,1,0,0,Finance ,Miscellaneous Errors,,,
2010,CT,0,0,0,1,0,0,0,0,Trade ,Lost and Stolen Assets,,,
2015,NA,0,0,0,0,0,1,0,0,Professional ,Miscellaneous Errors,,,
2013,NC,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2012,NY,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2015,AZ,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2013,MO,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,NA,1,1,1,0,0,0,0,0,Public ,Cyber-Espionage,,,
2014,CA,0,1,0,0,0,0,0,0,Real Estate ,Everything Else,,,
2010,MN,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2010,TX,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,NE,0,0,0,1,0,0,0,0,Finance ,Lost and Stolen Assets,,,
2012,IL,0,1,0,0,0,0,0,0,Finance ,Web Applications,,,
2011,IA,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2014,IN,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2014,CA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2011,NA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2015,IL,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,MA,0,1,0,0,0,0,0,0,Educational ,Web Applications,,,
2015,NA,0,0,0,0,0,1,0,0,Educational ,Miscellaneous Errors,,,
2013,NY,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2004,NA,0,0,0,1,0,0,0,0,Public ,Cyber-Espionage,,,
2013,ME,0,1,0,0,0,0,0,0,Utilities ,Everything Else,,,
2013,NA,0,1,0,0,0,0,0,0,Information ,Denial of Service,,,
2010,CA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2014,CA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2013,IL,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2009,MO,0,0,0,0,1,0,0,0,Accomodation ,Privilege Misuse,,,
2012,NY,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,FL,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2013,NC,0,0,0,0,0,1,0,0,Unknown,Miscellaneous Errors,,,
2012,TX,0,0,0,0,0,1,0,0,Educational ,Miscellaneous Errors,,,
2013,MS,0,1,0,0,0,0,0,0,Unknown,Web Applications,,,
2010,UT,0,0,0,1,0,0,0,0,Finance ,Lost and Stolen Assets,,,
2012,NA,0,1,0,0,0,0,0,0,Information ,Everything Else,,,
2012,CA,0,1,0,0,0,0,0,0,Information ,Everything Else,,,
2013,MA,0,0,0,0,0,0,0,1,Retail ,Point of Sale,,,
2013,NA,0,0,0,0,0,1,0,0,Finance ,Miscellaneous Errors,,,
2013,NY,0,0,0,1,0,0,0,0,Manufacturing ,Lost and Stolen Assets,,,
2013,NY,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2014,NA,0,0,0,1,0,0,0,0,Unknown,Payment Card Skimmers,,,
2014,SC,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2012,TX,0,0,0,0,1,0,0,0,Professional ,Privilege Misuse,,,
2011,WV,0,0,0,1,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,CA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2014,CA,0,1,0,0,0,0,0,0,Finance ,Denial of Service,,,
2011,DC,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,TN,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2010,MO,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,NJ,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2010,AR,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2010,MO,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,MI,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2013,NA,0,1,0,0,0,0,0,0,Unknown,Web Applications,,,
2010,GA,0,0,0,1,0,0,0,0,Professional ,Lost and Stolen Assets,,,
2011,NY,0,0,0,1,0,0,0,0,Professional ,Lost and Stolen Assets,,,
2009,NJ,0,0,0,1,0,0,0,0,Educational ,Lost and Stolen Assets,,,
2014,PR,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,WA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2011,NA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2014,NA,0,1,0,0,0,0,0,0,Unknown,Denial of Service,,,
2012,TX,0,1,0,0,0,0,0,0,Unknown,Cyber-Espionage,,,
2013,NA,1,1,1,0,0,0,0,0,Unknown,Cyber-Espionage,,,
2013,NC,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,CT,0,0,0,0,1,0,0,0,Educational ,Privilege Misuse,,,
2011,NE,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2013,NE,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2013,MA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2013,MA,0,0,0,0,0,1,0,0,Finance ,Miscellaneous Errors,,,
2012,AZ,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2010,IL,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,NA,0,1,0,0,0,0,0,0,Information ,Cyber-Espionage,,,
2014,NA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2013,IN,0,1,0,0,0,0,0,0,Retail ,Everything Else,,,
2012,NA,0,0,0,0,1,1,0,0,Public ,Privilege Misuse,,,
2014,NA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2014,GA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,CA,1,0,0,0,0,0,0,0,Retail ,Crimeware,,,
2006,CA,0,0,0,0,1,0,0,0,Finance ,Privilege Misuse,,,
2013,IN,0,0,0,0,1,0,0,0,Healthcare ,Privilege Misuse,,,
2012,NA,1,0,1,0,0,0,0,0,Professional ,Crimeware,,,
2008,NA,0,0,0,0,0,1,0,0,Management ,Lost and Stolen Assets,,,
2015,IN,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,IL,0,1,0,0,0,0,0,0,Manufacturing ,Web Applications,,,
2013,NA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2011,CA,0,1,0,0,0,0,0,0,Information ,Web Applications,,,
2013,NA,0,1,0,0,0,0,0,0,Finance ,Web Applications,,,
2011,FL,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2010,MO,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,NA,0,0,0,1,0,0,0,0,Finance ,Lost and Stolen Assets,,,
2014,WI,0,0,0,0,0,1,0,0,Finance ,Miscellaneous Errors,,,
2012,AR,0,0,1,0,0,0,0,0,Public ,Everything Else,,,
2012,NH,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,TX,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,IL,0,0,0,0,0,1,0,0,Trade ,Miscellaneous Errors,,,
2012,NY,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2011,NA,0,0,0,0,1,0,0,0,Finance ,Privilege Misuse,,,
2013,VA,1,0,0,0,0,0,0,0,Information ,Crimeware,,,
2013,MO,0,0,0,0,0,0,0,1,Transportation ,Everything Else,,,
2012,OK,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2015,NA,0,0,0,0,0,0,0,1,Information ,Everything Else,,,
2010,CA,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,MA,0,1,0,0,0,0,0,0,Retail ,Web Applications,,,
2012,CA,0,1,0,0,0,0,0,0,Administrative ,Web Applications,,,
2013,NA,0,0,0,0,0,1,0,0,Construction ,Miscellaneous Errors,,,
2014,MI,0,0,0,0,1,0,0,0,Accomodation ,Privilege Misuse,,,
2013,NA,1,1,1,0,0,0,0,0,Public ,Cyber-Espionage,,,
2012,AL,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2009,OK,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2014,CA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2013,IN,0,0,0,0,0,1,0,0,Finance ,Miscellaneous Errors,,,
2010,KY,0,0,0,0,0,0,0,1,Educational ,Everything Else,,,
2013,NJ,0,1,0,0,0,0,0,0,Retail ,Web Applications,,,
2012,NA,0,1,0,0,0,0,0,0,Unknown,Denial of Service,,,
2013,WI,1,0,0,0,0,0,0,0,Healthcare ,Crimeware,,,
2014,NA,0,1,0,0,0,0,0,0,Mining ,Denial of Service,,,
2012,GA,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,,
2012,MO,0,1,0,0,0,0,0,0,Trade ,Web Applications,,,
2010,OK,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,GA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2013,NA,0,1,0,0,0,0,0,0,Professional ,Web Applications,,,
2014,NA,0,1,0,0,0,0,0,0,Public ,Denial of Service,,,
2010,WA,0,0,0,1,0,0,0,0,Retail ,Lost and Stolen Assets,,,
2013,NA,0,1,0,0,0,0,0,0,Professional ,Web Applications,,,
2013,ME,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,UT,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2011,NC,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2013,NA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2015,NY,0,0,0,0,0,1,0,0,Public ,Lost and Stolen Assets,,,
2011,NC,0,1,0,0,0,0,0,0,Healthcare ,Everything Else,,,
2012,SC,1,1,1,0,0,0,0,0,Public ,Crimeware,,,
2012,IL ,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2015,NA,0,0,0,1,0,0,0,0,Public ,Lost and Stolen Assets,,,
2011,MN,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,,
2012,MA,0,0,0,0,0,1,0,0,Healthcare ,Miscellaneous Errors,,,
2014,NA,0,1,1,0,0,0,0,0,Information ,Denial of Service,,,
2014,WA,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2013,NA,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
2012,NA,1,1,1,0,0,0,0,0,Finance ,Crimeware,,,
